variable_num,value,translation
V2002,22,MN-Minnesota
V2002,23,MS-Mississippi
V2002,24,MO-Missouri
V2002,25,MT-Montana
V2002,26,NB-Nebraska
V2002,27,NV-Nevada
V2002,28,NH-New Hampshire
V2002,29,NJ-New Jersey
V2002,30,NM-New Mexico
V2002,31,NY-New York
V2002,32,NC-North Carolina
V2002,33,ND-North Dakota
V2002,34,OH-Ohio
V2002,35,OK-Oklahoma
V2002,36,OR-Oregon
V2002,37,PA-Pennsylvania
V2002,38,RI-Rhode Island
V2002,39,SC-South Carolina
V2002,40,SD-South Dakota
V2002,41,TN-Tennessee
V2002,42,TX-Texas
V2002,43,UT-Utah
V2002,44,VT-Vermont
V2002,45,VA-Virginia
V2002,46,WA-Washington
V2002,47,WV-West Virginia
V2002,48,WI-Wisconsin
V2002,49,WY-Wyoming
V2002,50,AK-Alaska
V2002,51,HI-Hawaii
V2002,52,CZ-Canal Zone
V2002,53,PR-Puerto Rico
V2002,54,AS-American Samoa
V2002,55,GM-Guam
V2002,62,VI-Virgin Islands
V2006,200,Arson
V2006,13A,Aggravated Assault
V2006,13B,Simple Assault
V2006,13C,Intimidation
V2006,510,Bribery
V2006,220,Burglary/Breaking and Entering
V2006,250,Counterfeiting/Forgery
V2006,290,Destruction/Damage/Vandalism of Property
V2006,35A,Drug/Narcotic Violations
V2006,35B,Drug Equipment Violations
V2006,270,Embezzlement
V2006,210,Extortion/Blackmail
V2006,26A,False Pretenses/Swindle/Confidence Game
V2006,26B,Credit Card/Automatic Teller Machine Fraud
V2006,26C,Impersonation
V2006,26D,Welfare Fraud
V2006,26E,Wire Fraud
V2006,39A,Betting/Wagering
V2006,39B,Operating/Promoting/Assisting Gambling
V2006,39C,Gambling Equipment Violations
V2006,39D,Sports Tampering
V2006,09A,Murder/Nonnegligent Manslaughter
V2006,09B,Negligent Manslaughter
V2006,09C,Justifiable Homicide
V2006,64A,Human Trafficking - Commercial Sex Acts
V2006,64B,Human Trafficking - Involuntary Servitude
V2006,100,Kidnaping/Abduction
V2006,23A,Pocket-picking
V2006,23B,Purse-snatching
V2006,23C,Shoplifting
V2006,23D,Theft From Building
V2006,23E,Theft From Coin-Operated Machine or Device
V2006,23F,Theft From Motor Vehicle
V2006,23G,Theft of Motor Vehicle Parts/Accessories
V2006,23H,All Other Larceny
V2006,240,Motor Vehicle Theft
V2006,370,Pornography/Obscene Material
V2006,40A,Prostitution
V2006,40B,Assisting or Promoting Prostitution
V2006,40C,Purchasing Prostitution
V2006,120,Robbery
V2006,11A,Rape
V2006,11B,Sodomy
V2006,11C,Sexual Assault With An Object
V2006,11D,Fondling (Indecent Liberties/Child Molesting)
V2006,36A,Incest
V2006,36B,Statutory Rape
V2006,280,"Stolen Property Offenses (Receiving, Selling, Etc.)"
V2006,520,Weapon Law Violations
V2007,A,Attempted
V2007,C,Completed
V2008,A,Alcohol
V2008,C,Computer Equipment
V2008,D,Drugs/Narcotics
V2008,N,Not Applicable
V2009,A,Alcohol
V2009,C,Computer Equipment
V2009,D,Drugs/Narcotics
V2009,N,Not Applicable
V2010,A,Alcohol
V2010,C,Computer Equipment
V2010,D,Drugs/Narcotics
V2010,N,Not Applicable
V2011,01,Air/Bus/Train Terminal
V2011,02,Bank/Savings and Loan
V2011,03,Bar/Nightclub
V2011,04,Church/Synagogue/Temple/Mosque
V2011,05,Commercial/Office Building
V2011,06,Construction Site
V2011,07,Convenience Store
V2011,08,Department/Discount Store
V2011,09,Drug Store/Dr.'s Office/Hospital
V2011,10,Field/Woods
V2011,11,Government/Public Building
V2011,12,Grocery/Supermarket
V2011,13,Highway/Road/Alley/Street/Sidewalk
V2011,14,Hotel/Motel/Etc.
V2011,15,Jail/Prison/Penitentiary/Corrections Facility
V2011,16,Lake/Waterway/Beach
V2011,17,Liquor Store
V2011,18,Parking/Drop Lot/Garage
V2011,19,Rental Storage Facility
V2011,20,Residence/Home
V2011,21,Restaurant
V2011,22,School/College
V2011,23,Service/Gas Station
V2011,24,"Specialty Store (TV, Fur, Etc.)"
V2011,25,Other/Unknown
V2011,37,Abandoned/condemned structure
V2011,38,Amusement park
V2011,39,Arena/stadium/fairgrounds/coliseum
V2011,40,ATM separate from bank
V2011,41,Auto dealership new/used
V2011,42,Camp/campground
V2011,44,Daycare facility
V2011,45,Dock/wharf/freight/modal terminal
V2011,46,Farm facility
V2011,47,Gambling facility/casino/race track
V2011,48,Industrial site
V2011,49,Military installation
V2011,50,Park/playground
V2011,51,Rest area
V2011,52,School--college/university
V2011,53,School--elementary/secondary
V2011,54,Shelter--mission/homeless
V2011,55,Shopping mall
V2011,56,Tribal lands
V2011,57,Community center
V2013,F,Force
V2013,N,No Force
V2014,B,Buying/Receiving
V2014,C,Cultivating/Manufacturing/Publishing
V2014,D,Distributing/Selling
V2014,E,Exploiting Children
V2014,I,"Intentional Abuse and Torture (tormenting, mutilating, maiming, poisoning, or abandonment)"
V2014,J,Juvenile Gang Involvement
V2014,G,Other Gang
V2014,N,None/Unknown Gang Involvement
V2014,O,Operating/Promoting/Assisting
V2014,P,Possessing/Concealing
V2014,T,Transporting/Transmitting/Importing
V2014,U,Using/Consuming
V2015,B,Buying/Receiving
V2015,C,Cultivating/Manufacturing/Publishing
V2015,D,Distributing/Selling
V2015,E,Exploiting Children
V2015,I,"Intentional Abuse and Torture (tormenting, mutilating, maiming, poisoning, or abandonment)"
V2015,J,Juvenile Gang Involvement
V2015,G,Other Gang
V2015,N,None/Unknown Gang Involvement
V2015,O,Operating/Promoting/Assisting
V2015,P,Possessing/Concealing
V2015,T,Transporting/Transmitting/Importing
V2015,U,Using/Consuming
V2016,B,Buying/Receiving
V2016,C,Cultivating/Manufacturing/Publishing
V2016,D,Distributing/Selling
V2016,E,Exploiting Children
V2016,I,"Intentional Abuse and Torture (tormenting, mutilating, maiming, poisoning, or abandonment)"
V2016,J,Juvenile Gang Involvement
V2016,G,Other Gang
V2016,N,None/Unknown Gang Involvement
V2016,O,Operating/Promoting/Assisting
V2016,P,Possessing/Concealing
V2016,T,Transporting/Transmitting/Importing
V2016,U,Using/Consuming
V2017,11,Firearm (type not stated)
V2017,11A,"Firearm (type not stated), automatic"
V2017,12,Handgun
V2017,12A,"Handgun, automatic"
V2017,13,Rifle
V2017,13A,"Rifle, automatic"
V2017,14,Shotgun
V2017,14A,"Shotgun, automatic"
V2017,15,Other Firearm
V2017,15A,"Other Firearm, automatic"
V2017,20,"Knife/Cutting Instrument (ice pick, screwdriver, ax, etc.)"
V2017,30,"Blunt Object (club, hammer, etc.)"
V2017,35,Motor Vehicle
V2017,40,"Personal Weapons (hands, feet, teeth, etc.)"
V2017,50,Poison (include gas as in code 85 asphyxiation)
V2017,60,Explosives
V2017,65,Fire/Incendiary Device
V2017,70,Drugs/Narcotics/Sleeping Pills
V2017,85,"Asphyxiation (by drowning, strangulation, suffocation, gas, etc.)"
V2017,90,Other
V2017,95,Unknown
V2017,99,None
V2018,11,Firearm (type not stated)
V2018,12,Handgun
V2018,13,Rifle
V2018,14,Shotgun
V2018,15,Other Firearm
V2018,20,"Knife/Cutting Instrument (ice pick, screwdriver, ax, etc.)"
V2018,30,"Blunt Object (club, hammer, etc.)"
V2018,35,Motor Vehicle
V2018,40,"Personal Weapons (hands, feet, teeth, etc.)"
V2018,50,Poison (include gas as in code 85 asphyxiation)
V2018,60,Explosives
V2018,65,Fire/Incendiary Device
V2018,70,Drugs/Narcotics/Sleeping Pills
V2018,85,"Asphyxiation (by drowning, strangulation, suffocation, gas, etc.)"
V2018,90,Other
V2018,95,Unknown
V2018,99,None
V2019,11,Firearm (type not stated)
V2019,11A,"Firearm (type not stated), automatic"
V2019,12,Handgun
V2019,12A,"Handgun, automatic"
V2019,13,Rifle
V2019,13A,"Rifle, automatic"
V2019,14,Shotgun
V2019,14A,"Shotgun, automatic"
V2019,15,Other Firearm
V2019,15A,"Other Firearm, automatic"
V2019,20,"Knife/Cutting Instrument (ice pick, screwdriver, ax, etc.)"
V2019,30,"Blunt Object (club, hammer, etc.)"
V2019,35,Motor Vehicle
V2019,40,"Personal Weapons (hands, feet, teeth, etc.)"
V2019,50,Poison (include gas as in code 85 asphyxiation)
V2019,60,Explosives
V2019,65,Fire/Incendiary Device
V2019,70,Drugs/Narcotics/Sleeping Pills
V2019,85,"Asphyxiation (by drowning, strangulation, suffocation, gas, etc.)"
V2019,90,Other
V2019,95,Unknown
V2019,99,None
V2020,11,Anti-White
V2020,12,Anti-Black or African American
V2020,13,Anti-American Indian or Alaska Native
V2020,14,Anti-Asian
V2020,15,Anti-Multi-Racial Group
V2020,16,Anti-Native Hawaiian or Other Pacific Islander
V2020,21,Anti-Jewish
V2020,22,Anti-Catholic
V2020,23,Anti-Protestant
V2020,24,Anti-Islamic (Muslim)
V2020,25,Anti-Other Religion
V2020,26,Anti-Multi-Religious Group
V2020,27,Anti-Atheism/Agnosticism
V2020,28,Anti-Mormon
V2020,82,Anti-Other Christian
V2020,84,Anti-Hindu
V2020,85,Anti-Sikh
V2020,32,Anti-Hispanic or Latino
V2020,33,Anti-Not Hispanic or Latino
V2020,41,Anti-Gay
V2020,42,Anti-Lesbian
V2020,43,"Anti-Lesbian, Gay, Bixexual, or Trangender, Mixed Group (LGBT)"
V2020,44,Anti-Heterosexual
V2020,45,Anti-Bisexual
V2020,51,Anti-Physical Disability
V2020,52,Anti-Mental Disability
V2020,61,Anti-Male
V2020,62,Anti-Female
V2020,71,Anti-Transgender
V2020,72,Anti-Gender Non-Conforming
V2020,88,None
V2020,99,Unknown
V2020B,11,Anti-White
V2020B,12,Anti-Black or African American
V2020B,13,Anti-American Indian or Alaska Native
V2020B,14,Anti-Asian
V2020B,15,Anti-Multi-Racial Group
V2020B,16,Anti-Native Hawaiian or Other Pacific Islander
V2020B,21,Anti-Jewish
V2020B,22,Anti-Catholic
V2020B,23,Anti-Protestant
V2020B,24,Anti-Islamic (Muslim)
V2020B,25,Anti-Other Religion
V2020B,26,Anti-Multi-Religious Group
V2020B,27,Anti-Atheism/Agnosticism
V2020B,32,Anti-Hispanic or Latino
V2020B,33,Anti-Not Hispanic or Latino
V2020B,41,Anti-Gay
V2020B,42,Anti-Lesbian
V2020B,43,"Anti-Lesbian, Gay, Bixexual, or Trangender, Mixed Group (LGBT)"
V2020B,44,Anti-Heterosexual
V2020B,45,Anti-Bisexual
V2020B,51,Anti-Physical Disability
V2020B,52,Anti-Mental Disability
V2020B,61,Anti-Male
V2020B,62,Anti-Female
V2020B,71,Anti-Transgender
V2020B,72,Anti-Gender Non-Conforming
V2020B,88,None
V2020B,99,Unknown
V2020C,11,Anti-White
V2020C,12,Anti-Black or African American
V2020C,13,Anti-American Indian or Alaska Native
V2020C,14,Anti-Asian
V2020C,15,Anti-Multi-Racial Group
V2020C,16,Anti-Native Hawaiian or Other Pacific Islander
V2020C,21,Anti-Jewish
V2020C,22,Anti-Catholic
V2020C,23,Anti-Protestant
V2020C,24,Anti-Islamic (Muslim)
V2020C,25,Anti-Other Religion
V2020C,26,Anti-Multi-Religious Group
V2020C,27,Anti-Atheism/Agnosticism
V2020C,32,Anti-Hispanic or Latino
V2020C,33,Anti-Not Hispanic or Latino
V2020C,41,Anti-Gay
V2020C,42,Anti-Lesbian
V2020C,43,"Anti-Lesbian, Gay, Bixexual, or Trangender, Mixed Group (LGBT)"
V2020C,44,Anti-Heterosexual
V2020C,45,Anti-Bisexual
V2020C,51,Anti-Physical Disability
V2020C,52,Anti-Mental Disability
V2020C,61,Anti-Male
V2020C,62,Anti-Female
V2020C,71,Anti-Transgender
V2020C,72,Anti-Gender Non-Conforming
V2020C,88,None
V2020C,99,Unknown
V2020D,11,Anti-White
V2020D,12,Anti-Black or African American
V2020D,13,Anti-American Indian or Alaska Native
V2020D,14,Anti-Asian
V2020D,15,Anti-Multi-Racial Group
V2020D,16,Anti-Native Hawaiian or Other Pacific Islander
V2020D,21,Anti-Jewish
V2020D,22,Anti-Catholic
V2020D,23,Anti-Protestant
V2020D,24,Anti-Islamic (Muslim)
V2020D,25,Anti-Other Religion
V2020D,26,Anti-Multi-Religious Group
V2020D,27,Anti-Atheism/Agnosticism
V2020D,32,Anti-Hispanic or Latino
V2020D,33,Anti-Not Hispanic or Latino
V2020D,41,Anti-Gay
V2020D,42,Anti-Lesbian
V2020D,43,"Anti-Lesbian, Gay, Bixexual, or Trangender, Mixed Group (LGBT)"
V2020D,44,Anti-Heterosexual
V2020D,45,Anti-Bisexual
V2020D,51,Anti-Physical Disability
V2020D,52,Anti-Mental Disability
V2020D,61,Anti-Male
V2020D,62,Anti-Female
V2020D,71,Anti-Transgender
V2020D,72,Anti-Gender Non-Conforming
V2020D,88,None
V2020D,99,Unknown
V2020E,11,Anti-White
V2020E,12,Anti-Black or African American
V2020E,13,Anti-American Indian or Alaska Native
V2020E,14,Anti-Asian
V2020E,15,Anti-Multi-Racial Group
V2020E,16,Anti-Native Hawaiian or Other Pacific Islander
V2020E,21,Anti-Jewish
V2020E,22,Anti-Catholic
V2020E,23,Anti-Protestant
V2020E,24,Anti-Islamic (Muslim)
V2020E,25,Anti-Other Religion
V2020E,26,Anti-Multi-Religious Group
V2020E,27,Anti-Atheism/Agnosticism
V2020E,32,Anti-Hispanic or Latino
V2020E,33,Anti-Not Hispanic or Latino
V2020E,41,Anti-Gay
V2020E,42,Anti-Lesbian
V2020E,43,"Anti-Lesbian, Gay, Bixexual, or Trangender, Mixed Group (LGBT)"
V2020E,44,Anti-Heterosexual
V2020E,45,Anti-Bisexual
V2020E,51,Anti-Physical Disability
V2020E,52,Anti-Mental Disability
V2020E,61,Anti-Male
V2020E,62,Anti-Female
V2020E,71,Anti-Transgender
V2020E,72,Anti-Gender Non-Conforming
V2020E,88,None
V2020E,99,Unknown
V3001,03,Property Segment
V3002,01,AL-Alabama
V3002,02,AZ-Arizona
V3002,03,AR-Arkansas
V3002,04,CA-California
V3002,05,CO-Colorado
V3002,06,CT-Connecticut
V3002,07,DE-Delaware
V3002,08,DC-District of Columbia
V3002,09,FL-Florida
V3002,10,GA-Georgia
V3002,11,ID-Idaho
V3002,12,IL-Illinois
V3002,13,IN-Indiana
V3002,14,IA-Iowa
V3002,15,KS-Kansas
V3002,16,KY-Kentucky
V3002,17,LA-Louisiana
V3002,18,ME-Maine
V3002,19,MD-Maryland
V3002,20,MA-Massachusetts
V3002,21,MI-Michigan
V3002,22,MN-Minnesota
V3002,23,MS-Mississippi
V3002,24,MO-Missouri
V3002,25,MT-Montana
V3002,26,NB-Nebraska
V3002,27,NV-Nevada
V3002,28,NH-New Hampshire
V3002,29,NJ-New Jersey
V3002,30,NM-New Mexico
V3002,31,NY-New York
V3002,32,NC-North Carolina
V3002,33,ND-North Dakota
V3002,34,OH-Ohio
V3002,35,OK-Oklahoma
V3002,36,OR-Oregon
V3002,37,PA-Pennsylvania
V3002,38,RI-Rhode Island
V3002,39,SC-South Carolina
V3002,40,SD-South Dakota
V3002,41,TN-Tennessee
V3002,42,TX-Texas
V3002,43,UT-Utah
V3002,44,VT-Vermont
V3002,45,VA-Virginia
V3002,46,WA-Washington
V3002,47,WV-West Virginia
V3002,48,WI-Wisconsin
V3002,49,WY-Wyoming
V3002,50,AK-Alaska
V3002,51,HI-Hawaii
V3002,52,CZ-Canal Zone
V3002,53,PR-Puerto Rico
V3002,54,AS-American Samoa
V3002,55,GM-Guam
V3002,62,VI-Virgin Islands
V3006,1,None
V3006,2,Burned
V3006,3,Counterfeited/Forged
V3006,4,Destroyed/Damaged/Vandalized
V3006,5,Recovered
V3006,6,Seized
V3006,7,"Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)"
V3006,8,Unknown
V3007,01,Aircraft
V3007,02,Alcohol
V3007,03,Automobiles
V3007,04,Bicycles
V3007,05,Buses
V3007,06,Clothes/Furs
V3007,07,Computer Hardware/Software
V3007,08,Consumable Goods
V3007,09,Credit/Debit Cards
V3007,10,Drugs/Narcotics
V3007,11,Drug/Narcotic Equip.
V3007,12,Farm Equipment
V3007,13,Firearms
V3007,14,Gambling Equipment
V3007,15,Heavy Construction/Industrial Equipment
V3007,16,Household Goods
V3007,17,Jewelry/Precious Metals/Gems
V3007,18,Livestock
V3007,19,Merchandise
V3007,20,Money
V3007,21,Negotiable Instruments
V3007,22,Nonnegotiable Instruments
V3007,23,Office-Type Equipment
V3007,24,Other Motor Vehicles
V3007,25,Purses/Handbags/Wallets
V3007,26,Radios/TVs/VCRs/DVD Players
V3007,27,Recordings-Audio/Visual
V3007,28,Recreational Vehicles
V3007,29,Structures-Single Occupancy Dwellings
V3007,30,Structures-Other Dwellings
V3007,31,Structures - Commercial/Business
V3007,32,Structures - Industrial/Manufacturing
V3007,33,Structures - Public/Community
V3007,34,Structures-Storage
V3007,35,Structures-Other
V3007,36,Tools-Power/Hand
V3007,37,Trucks
V3007,38,Vehicle Parts/Accessories
V3007,39,Watercraft
V3007,41,Aircraft parts/accessories
V3007,42,Artistic supplies/accessories
V3007,43,Building materials
V3007,44,Camping/hunting/fishing equipment/supplies
V3007,45,Chemicals
V3007,46,Collections/collectibles
V3007,47,Crops
V3007,48,Documents/personal or business
V3007,49,Explosives
V3007,59,Firearm accessories
V3007,64,Fuel
V3007,65,Identity documents
V3007,66,Identity--intangible
V3007,67,Law enforcement equipment
V3007,68,Lawn/yard/garden equipment
V3007,69,Logging equipment
V3007,70,Medical/medical lab equipment
V3007,71,"Metals, non-precious"
V3007,72,Musical instruments
V3007,73,Pets
V3007,74,Photographic/optical equipment
V3007,75,Portable electronic communications
V3007,76,Recreational/sports equipment
V3007,77,Other
V3007,78,Trailers
V3007,79,Watercraft equipment/parts/accessories
V3007,80,Weapons - other
V3007,88,Pending Inventory (of Property)
V3007,99,Special Category
V3012,A,Crack Cocaine
V3012,B,"Cocaine (all forms except ""Crack"")"
V3012,C,Hashish
V3012,D,Heroin
V3012,E,Marijuana
V3012,F,Morphine
V3012,G,Opium
V3012,H,Other Narcotics: Codeine; Demerol; Dihydromorphinone or Dilaudid; Hydrocodone or Percodan; Methadone; etc.
V3012,I,LSD
V3012,J,PCP
V3012,K,"Other Hallucinogens: BMDA (""White Acid""); DMT; MDA; MDMA; Mescaline or Peyote; Psilocybin; STP; etc."
V3012,L,Amphetamines/Methamphetamines
V3012,M,"Other Stimulants: Adipex, Fastine, and Ionamin (Derivatives of Phentermine); Benzedrine; Didrex; Methylphenidate or
Ritalin; Phenmetrazine or Preludin; Tenuate; etc."
V3012,N,Barbiturates
V3012,O,Other Depressants: Glutethimide or Doriden; Methaqualone or Quaalude; Pentazocine or Talwin; etc.
V3012,P,"Other Drugs: Antidepressants (Elavil, Triavil, Tofranil, etc.); Aromatic Hydrocarbons; Propoxyphene or Darvon; Tranquilizers
(Chlordiazepoxide or Librium, Diazepam or Valium, etc.); etc."
V3012,U,Unknown Type Drug
V3012,X,Over 3 Drug Types
V3015,GM,Gram
V3015,KG,Kilogram
V3015,OZ,Ounce
V3015,LB,Pound
V3015,ML,Milliliter
V3015,LT,Liter
V3015,FO,Fluid Ounce
V3015,GL,Gallon
V3015,DU,"Dosage Unit/Items, (Pills, etc.)"
V3015,NP,Number of Plants
V3015,XX,Not Reported
V3016,A,"""Crack"" Cocaine"
V3016,B,"Cocaine (all forms except ""Crack"")"
V3016,C,Hashish
V3016,D,Heroin
V3016,E,Marijuana
V3016,F,Morphine
V3016,G,Opium
V3016,H,Other Narcotics: Codeine; Demerol; Dihydromorphinone or Dilaudid; Hydrocodone or Percodan; Methadone; etc. etc.
V3016,I,LSD
V3016,J,PCP
V3016,K,"Other Hallucinogens: BMDA (""White Acid""); DMT; MDA; MDMA; Mescaline or Peyote; Psilocybin; STP; etc."
V3016,L,Amphetamines/Methamphetamines
V3016,M,"Other Stimulants: Adipex, Fastine, and Ionamin (Derivatives of Phentermine); Benzedrine; Didrex; Methylphenidate or
Ritalin; Phenmetrazine or Preludin; Tenuate; etc."
V3016,N,Barbiturates
V3016,O,Other Depressants: Glutethimide or Doriden; Methaqualone or Quaalude; Pentazocine or Talwin; etc.
V3016,P,"Other Drugs: Antidepressants (Elavil, Triavil, Tofranil, etc.); Aromatic Hydrocarbons; Propoxyphene or Darvon; Tranquilizers
(Chlordiazepoxide or Librium, Diazepam or Valium, etc.); etc."
V3016,U,Unknown Type Drug
V3016,X,Over 3 Drug Types
V3019,GM,Gram
V3019,KG,Kilogram
V3019,OZ,Ounce
V3019,LB,Pound
V3019,ML,Milliliter
V3019,LT,Liter
V3019,FO,Fluid Ounce
V3019,GL,Gallon
V3019,DU,"Dosage Unit/Items, (Pills, etc.)"
V3019,NP,Number of Plants
V3019,XX,Not Reported
V3020,A,"""Crack"" Cocaine"
